YEAR	MONTH	CURRENT_FRIENDS	PREVIOUS FRIENDS	PREVIOUS_INCREASE
2008	10	42	26	26
2008	11	48	42	16
2008	12	56	48	6
2009	1	59	56	8
2009	2	61	59	3
2009	3	62	61	2
2009	4	61	62	1
2009	5	64	61	-1
2009	6	63	64	3
2009	7	67	63	-1
2009	8	68	67	4
2009	9	74	68	1
2009	10	78	74	6
2009	11	91	78	4
2009	12	96	91	13
2010	1	95	96	5
2010	2	98	95	-1
2010	3	101	98	3
2010	4	104	101	3
2010	5	105	104	3
2010	6	98	105	1
2010	7	99	98	-7
2010	8	99	99	1
2010	9	101	99	0
2010	10	106	101	2
2010	11	106	106	5
2010	12	105	106	0
2011	1	106	105	-1
2011	2	107	106	1
2011	3	109	107	1
2011	4	112	109	2
2011	5	113	112	3
2011	6	113	113	1
2011	7	113	113	0
2011	8	114	113	0
2011	9	116	114	1
2011	10	119	116	2
2011	11	123	119	3
2011	12	121	123	4
2012	1	123	121	-2
2012	2	126	123	2
2012	3	129	126	3
2012	4	136	129	3
2012	5	141	136	7
2012	6	143	141	5
2012	7	144	143	2
2012	8	146	144	1
2012	9	152	146	2
2012	10	158	152	6
2012	11	162	158	4
2012	12	164	162	4
2013	1	167	164	2
2013	2	181	167	5
2013	3	193	181	14
2013	4	198	193	12
