DAY	TIME	Y-NUMBER	X-NUMBER
Monday	00:00:00	6	4
Monday	01:00:00	4	2
Monday	02:00:00	3	0
Monday	03:00:00	3	0
Monday	04:00:00	1	0
Monday	05:00:00	0	1
Monday	06:00:00	0	3
Monday	07:00:00	1	3
Monday	08:00:00	3	4
Monday	09:00:00	6	5
Monday	10:00:00	9	8
Monday	11:00:00	14	12
Monday	12:00:00	16	11
Monday	13:00:00	12	13
Monday	14:00:00	17	19
Monday	15:00:00	16	18
Monday	16:00:00	18	21
Monday	17:00:00	21	27
Monday	18:00:00	27	29
Monday	19:00:00	24	28
Monday	20:00:00	23	24
Monday	21:00:00	28	25
Monday	22:00:00	16	20
Monday	23:00:00	9	16
Tuesday	00:00:00	4	12
Tuesday	01:00:00	5	7
Tuesday	02:00:00	3	3
Tuesday	03:00:00	0	2
Tuesday	04:00:00	0	0
Tuesday	05:00:00	0	0
Tuesday	06:00:00	1	0
Tuesday	07:00:00	3	2
Tuesday	08:00:00	3	3
Tuesday	09:00:00	8	7
Tuesday	10:00:00	7	11
Tuesday	11:00:00	12	17
Tuesday	12:00:00	9	14
Tuesday	13:00:00	5	16
Tuesday	14:00:00	5	21
Tuesday	15:00:00	7	24
Tuesday	16:00:00	11	19
Tuesday	17:00:00	17	24
Tuesday	18:00:00	16	26
Tuesday	19:00:00	17	23
Tuesday	20:00:00	21	20
Tuesday	21:00:00	24	16
Tuesday	22:00:00	18	19
Tuesday	23:00:00	13	14
Wednesday	00:00:00	7	12
Wednesday	01:00:00	3	7
Wednesday	02:00:00	1	2
Wednesday	03:00:00	1	0
Wednesday	04:00:00	0	0
Wednesday	05:00:00	0	0
Wednesday	06:00:00	2	1
Wednesday	07:00:00	3	3
Wednesday	08:00:00	2	4
Wednesday	09:00:00	6	5
Wednesday	10:00:00	11	8
Wednesday	11:00:00	10	12
Wednesday	12:00:00	7	13
Wednesday	13:00:00	8	12
Wednesday	14:00:00	13	16
Wednesday	15:00:00	15	19
Wednesday	16:00:00	13	24
Wednesday	17:00:00	18	27
Wednesday	18:00:00	18	29
Wednesday	19:00:00	23	28
Wednesday	20:00:00	16	21
Wednesday	21:00:00	17	17
Wednesday	22:00:00	11	19
Wednesday	23:00:00	9	13
Thursday	00:00:00	9	4
Thursday	01:00:00	5	2
Thursday	02:00:00	2	1
Thursday	03:00:00	3	0
Thursday	04:00:00	1	0
Thursday	05:00:00	0	0
Thursday	06:00:00	0	0
Thursday	07:00:00	2	2
Thursday	08:00:00	5	1
Thursday	09:00:00	6	5
Thursday	10:00:00	9	6
Thursday	11:00:00	14	12
Thursday	12:00:00	11	11
Thursday	13:00:00	12	14
Thursday	14:00:00	15	21
Thursday	15:00:00	17	26
Thursday	16:00:00	24	19
Thursday	17:00:00	21	22
Thursday	18:00:00	17	27
Thursday	19:00:00	16	31
Thursday	20:00:00	19	28
Thursday	21:00:00	21	21
Thursday	22:00:00	23	17
Thursday	23:00:00	18	14
Friday	00:00:00	11	7
Friday	01:00:00	7	6
Friday	02:00:00	4	3
Friday	03:00:00	1	1
Friday	04:00:00	0	0
Friday	05:00:00	0	0
Friday	06:00:00	1	1
Friday	07:00:00	0	0
Friday	08:00:00	2	1
Friday	09:00:00	4	3
Friday	10:00:00	7	7
Friday	11:00:00	12	12
Friday	12:00:00	12	13
Friday	13:00:00	11	15
Friday	14:00:00	13	20
Friday	15:00:00	16	18
Friday	16:00:00	19	14
Friday	17:00:00	23	17
Friday	18:00:00	27	21
Friday	19:00:00	31	24
Friday	20:00:00	28	23
Friday	21:00:00	23	32
Friday	22:00:00	21	29
Friday	23:00:00	22	22
Saturday	00:00:00	19	16
Saturday	01:00:00	14	11
Saturday	02:00:00	13	9
Saturday	03:00:00	7	4
Saturday	04:00:00	6	2
Saturday	05:00:00	3	1
Saturday	06:00:00	1	2
Saturday	07:00:00	1	0
Saturday	08:00:00	2	1
Saturday	09:00:00	2	3
Saturday	10:00:00	4	3
Saturday	11:00:00	7	6
Saturday	12:00:00	8	9
Saturday	13:00:00	13	12
Saturday	14:00:00	16	15
Saturday	15:00:00	21	20
Saturday	16:00:00	27	28
Saturday	17:00:00	33	31
Saturday	18:00:00	32	30
Saturday	19:00:00	29	29
Saturday	20:00:00	34	33
Saturday	21:00:00	31	34
Saturday	22:00:00	28	26
Saturday	23:00:00	24	24
Sunday	00:00:00	25	19
Sunday	01:00:00	20	18
Sunday	02:00:00	16	11
Sunday	03:00:00	12	8
Sunday	04:00:00	11	6
Sunday	05:00:00	6	4
Sunday	06:00:00	2	2
Sunday	07:00:00	0	1
Sunday	08:00:00	3	3
Sunday	09:00:00	2	4
Sunday	10:00:00	4	7
Sunday	11:00:00	6	6
Sunday	12:00:00	8	8
Sunday	13:00:00	7	8
Sunday	14:00:00	10	11
Sunday	15:00:00	12	13
Sunday	16:00:00	17	16
Sunday	17:00:00	21	22
Sunday	18:00:00	19	24
Sunday	19:00:00	16	23
Sunday	20:00:00	18	25
Sunday	21:00:00	19	17
Sunday	22:00:00	14	12
Sunday	23:00:00	7	8
